2025-05-01 10:13:36.324 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:13 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:13","count":0}
2025-05-01 10:14:06.329 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:14 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:14","count":0}
2025-05-01 10:14:36.318 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:14 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:14","count":0}
2025-05-01 10:15:06.379 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:15 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:15","count":0}
2025-05-01 10:15:36.323 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:15 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:15","count":0}
2025-05-01 10:16:06.330 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:16 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:16","count":0}
2025-05-01 10:16:27.134 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:16 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:16","count":0}
2025-05-01 10:16:56.457 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:16 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:16","count":0}
2025-05-01 10:17:01.013 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:17 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:17","count":0}
2025-05-01 10:17:30.351 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:17 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:17","count":0}
2025-05-01 10:18:00.354 [scheduling-1] INFO  c.n.f.i.r.s.i.EntryRealtimeServiceImpl - [INFO] 실시간 출입 데이터 | 시간: 2025-05-01 01:18 | 출입자 수: 0 | 데이터: {"time":"2025-05-01 01:18","count":0}
